9.998144000000000000e+06 0.000000000000000000e+00 1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.998068000000000000e+06 6.200000000000000000e+01 9.800000000000000000e+01 6.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
9.998016000000000000e+06 8.000000000000000000e+01 9.800000000000000000e+01 2.500000000000000000e+01 2.500000000000000000e+01 0.000000000000000000e+00
9.997961000000000000e+06 9.700000000000000000e+01 9.100000000000000000e+01 3.800000000000000000e+01 5.700000000000000000e+01 6.000000000000000000e+00
9.997909000000000000e+06 1.050000000000000000e+02 1.000000000000000000e+02 3.800000000000000000e+01 9.200000000000000000e+01 2.500000000000000000e+01
9.997854000000000000e+06 1.100000000000000000e+02 9.100000000000000000e+01 4.100000000000000000e+01 1.480000000000000000e+02 4.800000000000000000e+01
9.997816000000000000e+06 9.700000000000000000e+01 9.700000000000000000e+01 4.700000000000000000e+01 1.870000000000000000e+02 8.500000000000000000e+01
9.997770000000000000e+06 8.500000000000000000e+01 8.900000000000000000e+01 4.800000000000000000e+01 2.520000000000000000e+02 1.310000000000000000e+02
9.997731000000000000e+06 8.500000000000000000e+01 9.000000000000000000e+01 3.800000000000000000e+01 3.000000000000000000e+02 1.790000000000000000e+02
9.997687000000000000e+06 9.400000000000000000e+01 9.300000000000000000e+01 2.300000000000000000e+01 3.470000000000000000e+02 2.300000000000000000e+02
9.997641000000000000e+06 9.300000000000000000e+01 8.500000000000000000e+01 3.200000000000000000e+01 3.930000000000000000e+02 2.660000000000000000e+02
9.997605000000000000e+06 8.700000000000000000e+01 7.700000000000000000e+01 4.400000000000000000e+01 4.310000000000000000e+02 3.070000000000000000e+02
9.997575000000000000e+06 7.800000000000000000e+01 7.800000000000000000e+01 3.900000000000000000e+01 4.740000000000000000e+02 3.460000000000000000e+02
9.997541000000000000e+06 6.700000000000000000e+01 7.500000000000000000e+01 4.200000000000000000e+01 5.190000000000000000e+02 3.880000000000000000e+02
9.997510000000000000e+06 6.300000000000000000e+01 7.300000000000000000e+01 4.600000000000000000e+01 5.520000000000000000e+02 4.250000000000000000e+02
9.997470000000000000e+06 7.000000000000000000e+01 7.500000000000000000e+01 3.500000000000000000e+01 5.940000000000000000e+02 4.620000000000000000e+02
9.997441000000000000e+06 5.800000000000000000e+01 7.300000000000000000e+01 2.900000000000000000e+01 6.430000000000000000e+02 5.110000000000000000e+02
9.997405000000000000e+06 5.900000000000000000e+01 6.800000000000000000e+01 3.400000000000000000e+01 6.780000000000000000e+02 5.410000000000000000e+02
9.997372000000000000e+06 6.100000000000000000e+01 5.900000000000000000e+01 2.800000000000000000e+01 7.240000000000000000e+02 5.840000000000000000e+02
9.997341000000000000e+06 5.400000000000000000e+01 6.100000000000000000e+01 3.500000000000000000e+01 7.530000000000000000e+02 6.160000000000000000e+02
9.997319000000000000e+06 5.300000000000000000e+01 5.500000000000000000e+01 3.300000000000000000e+01 7.840000000000000000e+02 6.470000000000000000e+02
9.997299000000000000e+06 5.100000000000000000e+01 5.700000000000000000e+01 2.000000000000000000e+01 8.170000000000000000e+02 6.830000000000000000e+02
9.997279000000000000e+06 4.100000000000000000e+01 5.600000000000000000e+01 2.100000000000000000e+01 8.470000000000000000e+02 7.120000000000000000e+02
9.997248000000000000e+06 5.200000000000000000e+01 4.600000000000000000e+01 2.100000000000000000e+01 8.770000000000000000e+02 7.460000000000000000e+02
9.997228000000000000e+06 5.100000000000000000e+01 4.100000000000000000e+01 1.700000000000000000e+01 9.070000000000000000e+02 7.780000000000000000e+02
9.997210000000000000e+06 4.600000000000000000e+01 3.800000000000000000e+01 2.200000000000000000e+01 9.280000000000000000e+02 8.110000000000000000e+02
9.997192000000000000e+06 4.000000000000000000e+01 3.400000000000000000e+01 2.800000000000000000e+01 9.500000000000000000e+02 8.290000000000000000e+02
9.997174000000000000e+06 4.300000000000000000e+01 3.400000000000000000e+01 1.700000000000000000e+01 9.760000000000000000e+02 8.590000000000000000e+02
9.997160000000000000e+06 3.400000000000000000e+01 3.900000000000000000e+01 1.500000000000000000e+01 9.960000000000000000e+02 8.820000000000000000e+02
